// FOR REFERENCE PURPOSES ONLY
// Start sequence
K1: "You enter the kitchen. There’s a large fridge to your left, and a kitchen counter next to it. You hear a peculiar sound coming from the counter."
K1_2: "What do you do? Investigate the noise. Hide."
K2: "You follow the source of the noise but you don’t find anything. There’s a fridge and an oven in the kitchen."
K2_2: "What do you do? Search the fridge. Search the oven."
K3: "You find two apples inside the fridge. A red apple and a green apple."
K3_2: "What do you do? Pick up the red apple. Pick up the green apple."
K4: "You pick up and eat the red apple. You faint."
// Basement sequence
K5: "You reach for the green apple. When you pull it out from the fridge, your hand slips and the apple falls to the kitchen floor."
K5_2: "What do you do? Pick up the apple. Ignore the apple."
K6: "You reach downwards to pick up the apple. In the gap between the fridge and the floor, you find a remote with a single red button."
K6_2: "What do you do? Press the button. Put the remote back."
K7: "The noise in the kitchen stops. Looks like it was from a remote-controlled speaker."
K8: "You put the remote back where you found it."
K8_2: "What do you do next? Check the oven. Pick up the red apple."
K9: "You smell something burnt. You peer inside and find a charred object."
K9_2: "What do you do? Clean the object. Leave the object."
K10: "You clean the object. It’s a radio. The noises you heard seem to have come from the radio."
K10_2: "What do you do? Turn off the radio. Change the frequency."
K11: "You turn off the radio."
// K12 in a radio/static voice, may need mp3
K12: "Look under the mat."
K13: "What do you do? Look under the mat. Ignore the instruction."
K14: "You look under the mat by the kitchen sink. You find a silver key with a snake pattern."
K15: "You close the oven door and look around the kitchen. Suddenly, you feel a shadow flash behind you."
K15_2: "What do you do? Keep searching. Hide."
K16: "After searching for a while, you notice a door hidden behind the fridge."
K16_2: "What do you do? Investigate the door. Leave the kitchen."
K17: "You pull on the fridge with all your strength. You turn the knob on the door and push. Behind the door you see a woman clad in white, back facing you. Her right hand is moving, chopping down on something in front of her. Suddenly, she stops."
K17_2: "She turns towards you with a smile, staring you in the eye." 
// Bad ending
K18: "You return to the lobby."
K19: You find a cleaning closet to your right and dash inside. You feel something by your feet and pick it up. It’s a flashlight."
K19_2: "After some time, the noises stop, you leave the kitchen and go Back to the lobby."

// Bathroom
BR: "You enter the bathroom. The sink is on."
BR_2: "What do you do? Turn off the sink. Open toilet seat."
BR2 : "You hear footsteps running towards you."
BR2_2: "What do you do? Lock the door. Hide in the cupboard."
BR3: "The footsteps come closer until it stops."
BR3_2: "Someone tries to open the door, but it is locked. Suddenly they start banging on the door."
BR3_3: "What do you do? Hide in the cupboard. Hide in a vent."
BR4: "You find a cupboard below the sink, and hide inside. Suddenly, the door is forced open."
BR4_2: "You hear footsteps nearing the cupboard, then a laugh."
BR4_3: "After some time, you hear footsteps walking out. What do you do? Leave the cupboard."
BR5: "You attempt to leave the cupboard. In your despair, you find out it is locked!"
BR5_2: "What do you do? Bang on the cupboard."
BR5_3: "It’s useless! You can’t get out! What do you do? Bang even more."
BR5_4: "Didn’t I tell you it’s useless? You are now stuck in the cupboard of someone’s abandoned  house. 
Nobody will find you here for a while. What terrible life decisions you’ve made to make it to this point is unclear, but you have a long, long time to think about it."
BR6: "Above the toilet, you find a loose vent shaft. You pop it open and crawl inside, putting back the cover behind you. You crawl through the vents and reach another room."
BR7: "You try to leave but the door is stuck."
BR7_2: "What do you do? Search the cupboard. Open the toilet seat."
BR8: "In the cupboard, you find a hammer."
BR9: "What do you do? Break down the door with the hammer. Hide in the cupboard."
BR10: "You hold your hammer with both hands, then swing down."
BR10_2: "After a couple of tries, the door breaks! You enter the lobby with your trusty new hammer."
BR11: "You open the toilet seat. To your surprise, it’s full of bugs! "
BR11_2: "What do you do? Close the toilet seat. Leave the bathroom."
BR12: "There is a cupboard below the sink. You decide to search it."
// BR8
BR13: "You leave the bathroom into the lobby."

// secret room is incomplete
